MMS Id,Begin Publication Date,ISBN Valid,Library Code,Location Code
99113722183506421,2019,022661106X; 9780226611068,firestone,stacks
99113722623506421,2018,1786994550; 9781786994554,firestone,stacks
99113722813506421,2019,0813177308; 9780813177304,firestone,stacks
99113722903506421,2019,0198812140; 9780198812142,firestone,stacks
99113723153506421,2019,1498553508; 9781498553506; 9781498553513; 1498553516,firestone,stacks
99113723293506421,2019,1478003685; 9781478003687; 1478003987; 9781478003984,firestone,stacks
99113723483506421,2019,0812250915; 9780812250916,firestone,stacks
99113723533506421,2019,0198826389; 9780198826385,firestone,stacks
99113723633506421,2019,1498534368; 9781498534369,firestone,stacks
99113723693506421,2019,1498570178; 9781498570176; 1498570194; 9781498570190,firestone,stacks
99113723983506421,2019,0190884835; 9780190884833,firestone,stacks
99113724063506421,2019,0199687706; 9780199687701,firestone,stacks
99113724353506421,2019,1442261102; 9781442261105; 1442261110; 9781442261112,firestone,stacks
99113724363506421,2019,0773556648; 9780773556645; 0773556656; 9780773556652,firestone,stacks
99113724443506421,2019,0299318400; 9780299318406,firestone,stacks
99113724613506421,2019,1503609014; 9781503609013,recap,pa
99113724743506421,2019,1538122065; 9781538122068; 1538122073; 9781538122075,firestone,stacks
99113725253506421,2019,0520293606; 9780520293601,firestone,stacks
99113725313506421,2019,0198796013; 9780198796015,firestone,stacks
99113725333506421,2019,0190625333; 9780190625337; 0190625325; 9780190625320,firestone,stacks
99113725933506421,2019,0823284573; 9780823284573,firestone,stacks
99113726883506421,2019,1476668132; 9781476668130,engineer,stacks
99113744433506421,2018,9698898026; 9789698898021,recap,pa
99113749753506421,2019,9783038601326; 3038601322,arch,stacks
99113749763506421,2019,3038601314; 9783038601319,arch,stacks
99113928883506421,2019,9780714878027; 0714878022,arch,stacks
99113929093506421,2019,0520299094; 9780520299092,marquand,pj
99113930383506421,2019,8417696032; 9788417696030,firestone,stacks
99113937363506421,2019,1138351830; 9781138351837,firestone,stacks
99113938393506421,2019,8893141752; 9788893141758,firestone,stacks
99113938763506421,2018,8849235747; 9788849235746,firestone,stacks
99113949763506421,2018,377055552X; 9783770555529,firestone,stacks
99113951913506421,2017,5870554136; 9785870554136,recap,pa
99113964513506421,2000,9780738506500; 0738506508,recap,pa
99113965143506421,2012,0738592242; 9780738592244,recap,pa
99113968433506421,2019,0813231426; 9780813231426,firestone,stacks
99113970083506421,1994,9789964915094; 9964915098; 9789988759612; 9988759614; 9988239637; 9789988239633,recap,pa
99113973293506421,2017,9957481754; 9789957481759,recap,pa
99113990553506421,2019,9783658243876; 3658243872,firestone,stacks
99113991793506421,2018,2343155518; 9782343155517,eastasian,gest
99113992993506421,2019,2811125027; 9782811125028,recap,pa
99113998063506421,2019,0262038684; 9780262038683,firestone,stacks
99113998493506421,2019,1107160073; 9781107160071,firestone,stacks
